order_id,delivery_time,first_name,last_name,order_details
2015-000036,17:23:58,Violet,Hail,medium bbq_ckn;medium classic_dlx
2015-000037,17:18:53,Gemma,Anderson,large mexicana;large ital_supr
2015-000038,17:31:36,Damon,Leonard,large ital_cpcllo;small hawaiian
2015-000039,17:43:19,Gianni,Joseph,large ital_supr
2015-000040,17:49:20,Aurelia,Larson,small southw_ckn;large four_cheese
2015-000041,18:03:29,Julianna,Carrillo,small green_garden;medium four_cheese
2015-000042,17:58:40,Damian,Ballard,small big_meat;large five_cheese;medium peppr_salami;large mexicana
2015-000043,18:10:34,Sawyer,Greene,medium ital_supr;large peppr_salami;medium ckn_alfredo
2015-000044,18:30:22,Raymond,English,small spin_pesto
2015-000045,18:26:50,Dylan,Haynes,large four_cheese;small hawaiian;medium thai_ckn
2015-000046,18:57:04,Isabelle,Ford,medium thai_ckn;large ckn_pesto;large classic_dlx
2015-000047,18:56:49,Kali,Nielsen,small veggie_veg;large southw_ckn
2015-000048,18:55:56,Briella,Hoffman,large prsc_argla;large spicy_ital;small green_garden;medium ckn_pesto
2015-000049,19:07:19,Ari,Bernal,large sicilian
2015-000050,19:15:32,Derek,Farmer,x-large the_greek
2015-000051,19:13:49,Joanna,Dominguez,large bbq_ckn;large pep_msh_pep
2015-000052,19:26:57,Zane,Bruce,large spicy_ital;large mexicana;large hawaiian
2015-000053,19:24:31,Esther,Alexander,small pep_msh_pep;medium spinach_supr
2015-000054,19:32:39,Jonathan,Bauer,medium prsc_argla;large thai_ckn
2015-000055,19:40:10,Kevin,Sexton,small peppr_salami;large spicy_ital
2015-000056,19:48:56,Martin,Roman,medium southw_ckn;medium classic_dlx;large mediterraneo
2015-000057,20:00:22,Edwin,Fields,medium classic_dlx
2015-000058,20:03:15,Annie,Trejo,large five_cheese;medium pepperoni
2015-000059,20:29:22,Ellis,Myers,small pep_msh_pep;large pepperoni;small ital_veggie
2015-000060,20:35:10,Alicia,Cervantes,large ckn_pesto;medium four_cheese
2015-000061,20:51:19,Martin,Waters,large ital_supr;medium bbq_ckn
2015-000062,21:46:06,Avery,Barr,medium spinach_supr;medium bbq_ckn
2015-000063,21:29:27,Leila,Summers,medium pep_msh_pep
2015-000064,21:25:26,Autumn,Harper,small big_meat
2015-000065,21:53:57,Angelo,Lee,medium spinach_supr;small pep_msh_pep;small sicilian;small spicy_ital
2015-000066,22:38:21,Chase,Sparks,medium classic_dlx;medium ital_cpcllo
2015-000067,22:33:41,Winter,Bush,large southw_ckn
2015-000068,22:55:06,Jason,Jennings,large ital_supr;medium classic_dlx;medium ital_supr
2015-000069,22:59:31,Lyric,Gallagher,large bbq_ckn
2015-000070,12:19:12,Vincent,Beard,large soppressata;small ital_veggie
2015-000071,12:18:53,Teagan,Delgado,large thai_ckn
2015-000072,12:32:13,Tate,Schroeder,large spinach_fet
2015-000073,12:34:21,Remi,Juarez,small thai_ckn
2015-000074,12:43:44,Sophia,Curtis,large mexicana;small spin_pesto;large spinach_supr;large five_cheese
2015-000075,13:02:44,Emilia,Decker,large napolitana;small ital_supr;large mediterraneo
2015-000076,12:58:12,Camilla,Watts,large hawaiian;large ital_veggie;large spicy_ital;small big_meat
2015-000077,12:51:02,Muhammad,Kerr,medium hawaiian;medium bbq_ckn
2015-000078,13:01:09,Barrett,Spencer,small classic_dlx;large spicy_ital;large spicy_ital;small thai_ckn;large four_cheese;medium ital_cpcllo;large spicy_ital;small big_meat
2015-000079,13:08:59,Sawyer,Glover,large ital_cpcllo;large thai_ckn;small pep_msh_pep
2015-000080,13:11:24,Selah,Underwood,small pepperoni;medium thai_ckn
2015-000081,13:16:46,Natalia,Rice,large thai_ckn
2015-000082,13:22:39,Nova,Frederick,large spicy_ital;small big_meat;medium cali_ckn;medium veggie_veg
2015-000083,13:21:50,Aisha,Johnson,small southw_ckn
2015-000084,13:50:27,Sarai,Barnett,large pepperoni
2015-000085,14:18:46,Lennox,Hill,small classic_dlx;medium classic_dlx;large ital_supr;medium the_greek
2015-000086,14:23:23,Sullivan,Anderson,large hawaiian
2015-000087,14:42:53,Arianna,Beard,medium mexicana;medium ital_cpcllo;small spinach_supr;large spinach_supr
2015-000088,14:45:18,Summer,Taylor,large five_cheese
2015-000089,15:06:58,Lyla,Rubio,large thai_ckn;large soppressata
2015-000090,15:38:26,Adan,Poole,small thai_ckn;large sicilian
2015-000091,15:52:20,Gia,Enriquez,large bbq_ckn;small pepperoni;large bbq_ckn;small ckn_pesto
2015-000092,15:56:49,Lilith,Harper,small spinach_fet;medium ital_supr;medium peppr_salami;medium bbq_ckn;small spinach_supr;medium the_greek;large ital_supr;medium pepperoni;small ital_veggie;medium the_greek
2015-000093,16:19:27,Patrick,Burke,medium sicilian
2015-000094,17:02:16,Ariel,Horton,medium ital_cpcllo;small southw_ckn
2015-000095,16:52:35,Regina,Boyd,large peppr_salami;small napolitana
2015-000096,17:01:49,Chloe,Dyer,small napolitana
2015-000097,17:15:36,Tobias,Durham,small big_meat
2015-000098,18:02:27,Arlo,Brennan,large napolitana;large classic_dlx
2015-000099,18:30:30,Lyric,Wheeler,large ital_supr
2015-000100,18:39:08,Aaron,Johnson,large hawaiian
2015-000101,18:32:27,Anna,Shepard,large soppressata;large cali_ckn;large pepperoni;medium spicy_ital
2015-000102,18:28:44,Kalani,Richard,small prsc_argla;small bbq_ckn
2015-000103,18:40:36,Felicity,Davenport,small spinach_supr
2015-000104,18:36:40,Cyrus,Saunders,large veggie_veg;medium bbq_ckn;medium ital_veggie;medium ckn_alfredo
2015-000105,18:44:14,Veronica,Boyle,small hawaiian;small hawaiian;medium prsc_argla;large pepperoni
2015-000106,18:51:23,Sylas,Skinner,large spicy_ital;large mexicana
2015-000107,18:56:52,Sara,Galvan,medium ital_supr;large cali_ckn;large veggie_veg;large spicy_ital
2015-000108,19:04:35,Alexis,Jones,large hawaiian;large classic_dlx;large spinach_supr
2015-000109,19:08:18,Briella,Barr,large prsc_argla;medium pepperoni;large ital_cpcllo;large ital_supr
2015-000110,19:13:57,Julianna,Wiggins,large soppressata;large napolitana;small big_meat;small spicy_ital
2015-000111,19:14:38,Joshua,Barnes,medium cali_ckn;large spin_pesto;medium pepperoni;large five_cheese
2015-000112,19:15:07,Andy,Avery,small pepperoni
2015-000113,19:20:34,Delilah,Jordan,large cali_ckn;medium southw_ckn;large mexicana
2015-000114,19:43:28,Saige,Morrow,large pepperoni;small sicilian
2015-000115,19:43:26,Antonella,Kane,medium thai_ckn;small big_meat;large napolitana
2015-000116,20:02:38,Asher,Vasquez,large five_cheese
2015-000117,19:52:19,Oaklynn,Ramirez,medium peppr_salami;large sicilian
2015-000118,20:06:09,Valerie,Bentley,large prsc_argla;small spinach_fet
2015-000119,20:15:11,Adalyn,West,medium four_cheese
2015-000120,20:12:56,Jaylen,Lyons,large spinach_fet;small hawaiian;small classic_dlx
2015-000121,20:15:27,Ryder,Hall,large sicilian;medium bbq_ckn;large southw_ckn;large four_cheese
2015-000122,20:22:50,Jason,Spencer,medium ital_supr
2015-000123,21:04:33,Dominic,Rangel,small ital_cpcllo
2015-000124,20:55:49,Peter,Fuller,small bbq_ckn;small the_greek;large sicilian;large spicy_ital
2015-000125,21:21:52,Dream,Giles,x-large the_greek
2015-000126,21:32:15,Baylor,Collier,large veggie_veg
2015-000127,21:31:57,Rylee,Wise,medium pepperoni
2015-000128,21:32:30,Rylee,Jones,small spicy_ital
2015-000129,21:46:35,Hayden,Melendez,small big_meat;medium the_greek
2015-000130,21:54:29,Axel,Alvarez,medium mexicana;small southw_ckn;large ital_cpcllo;small hawaiian
2015-000131,22:18:16,Riley,Huerta,small spinach_supr;large five_cheese;small green_garden;large ckn_pesto
2015-000132,22:22:31,Allie,Hoffman,small pepperoni
2015-000133,22:30:05,Archer,Kane,large bbq_ckn;large hawaiian;small the_greek
2015-000134,22:56:04,Paul,Jefferson,large southw_ckn;small spinach_supr;small big_meat
2015-000135,22:56:01,Memphis,Davidson,large veggie_veg
2015-000136,23:08:15,Kehlani,Reilly,small peppr_salami;large five_cheese
2015-000137,12:09:57,Judah,Robertson,large mediterraneo;medium spicy_ital;small pepperoni
2015-000138,12:09:11,Anya,Person,large ital_veggie;medium sicilian;large four_cheese;medium cali_ckn
2015-000139,12:42:05,Payton,Leonard,large five_cheese
2015-000140,13:00:22,Poppy,Wilson,medium veggie_veg;small prsc_argla
2015-000141,13:51:40,Aniyah,Hurst,medium classic_dlx
2015-000142,14:21:45,Dean,Reynolds,medium green_garden
2015-000143,14:24:03,Frederick,Raymond,large pepperoni;medium mexicana;small classic_dlx;large thai_ckn;small cali_ckn;small prsc_argla;medium veggie_veg;large hawaiian
2015-000144,14:21:42,Blake,Chandler,large five_cheese;large veggie_veg;small southw_ckn;medium thai_ckn;medium bbq_ckn;large four_cheese;medium bbq_ckn;medium bbq_ckn;small big_meat;large spicy_ital;large cali_ckn;small pep_msh_pep;large southw_ckn;medium ckn_pesto
2015-000145,14:35:24,Samara,Cain,small the_greek
2015-000146,15:02:57,Colette,Davis,large cali_ckn;medium four_cheese;medium hawaiian
2015-000147,15:22:29,Dominic,Castro,x-large the_greek
2015-000148,15:20:37,Isabel,Thornton,small mediterraneo
2015-000149,15:30:17,Bryce,Wiley,medium spinach_fet
2015-000150,15:30:23,Clark,Bush,medium pepperoni
2015-000151,15:44:55,Asher,Kirk,small spinach_supr;large southw_ckn
2015-000152,15:48:22,Callum,Stevens,medium the_greek;small thai_ckn;large spinach_fet;small hawaiian
2015-000153,16:06:02,Emilia,Blair,medium mexicana
2015-000154,15:54:35,Kate,Dillon,small prsc_argla
2015-000155,16:07:50,Maverick,Randall,large pepperoni;small ckn_pesto;large napolitana;large peppr_salami
2015-000156,16:29:50,Maya,Keith,large thai_ckn;medium napolitana
2015-000157,16:19:24,Ava,Pennington,medium sicilian;medium spin_pesto;medium mediterraneo;large ital_supr
2015-000158,16:25:07,Francesca,Walton,medium thai_ckn;medium ital_veggie
2015-000159,16:31:16,Saylor,Santana,medium thai_ckn;large four_cheese
2015-000160,17:10:49,Johnny,Benjamin,medium classic_dlx
2015-000161,17:15:50,Camilo,King,small hawaiian;x-large the_greek;medium spicy_ital
2015-000162,17:27:32,Paige,Gates,small big_meat
2015-000163,17:30:00,Clara,Pope,medium the_greek;medium hawaiian;large pepperoni
2015-000164,17:33:16,Adalyn,Harrington,medium pepperoni;large cali_ckn
2015-000165,17:38:28,Desmond,Hampton,medium prsc_argla
2015-000166,17:41:13,Regina,Ramos,small prsc_argla
2015-000167,17:50:34,Kason,Harrell,large bbq_ckn;medium pepperoni;medium ital_supr
2015-000168,17:39:58,Harvey,Elliott,medium veggie_veg;small big_meat
2015-000169,17:51:33,Nasir,Buchanan,medium sicilian;large four_cheese;small ital_cpcllo
2015-000170,18:09:49,Warren,Baldwin,large hawaiian
2015-000171,18:12:58,Eva,Dixon,medium napolitana
2015-000172,18:07:42,George,Doyle,large thai_ckn;medium spinach_supr;small napolitana
2015-000173,18:11:10,Amiyah,Molina,medium cali_ckn;medium classic_dlx;large veggie_veg
2015-000174,18:03:03,Dax,Stanley,small big_meat;medium cali_ckn;medium ital_cpcllo;large cali_ckn
2015-000175,18:38:43,Harvey,Randall,large ital_supr
2015-000176,18:24:05,Amaya,Sparks,large cali_ckn;medium peppr_salami
2015-000177,18:24:43,Aaron,English,large thai_ckn;small napolitana
2015-000178,19:14:21,Fabian,Pruitt,large peppr_salami
2015-000179,18:59:53,Adelina,Wallace,medium sicilian;small veggie_veg;large hawaiian
2015-000180,19:11:20,Messiah,Gonzales,large prsc_argla;large classic_dlx
2015-000181,19:08:24,Erik,Stephens,large mexicana
2015-000182,19:27:28,Adelina,Franklin,large peppr_salami;small brie_carre
2015-000183,19:39:44,Shiloh,Eaton,small spin_pesto;large spin_pesto;medium napolitana
2015-000184,19:39:59,Melissa,Walls,large hawaiian
2015-000185,19:52:56,Lucy,Todd,medium sicilian;small spin_pesto
2015-000186,20:27:53,Lana,Perez,large spin_pesto;large southw_ckn;large mexicana;large thai_ckn
2015-000187,20:23:22,Emilia,Mack,large five_cheese;large spin_pesto
2015-000188,20:43:05,Abel,Lara,large peppr_salami;large five_cheese;small pepperoni
2015-000189,20:55:09,Lillian,Mcconnell,small thai_ckn;small big_meat;small big_meat
2015-000190,20:50:59,Cali,Burton,small pep_msh_pep;large prsc_argla;medium four_cheese;large bbq_ckn
2015-000191,20:59:03,Charlie,Burke,large cali_ckn;medium ckn_alfredo
2015-000192,20:48:08,Erik,Peck,large southw_ckn;small sicilian
2015-000193,21:28:15,Royalty,Schwartz,small big_meat;medium cali_ckn;large ckn_alfredo;large ckn_alfredo
2015-000194,22:02:48,Rylie,Gallagher,small bbq_ckn
2015-000195,22:18:30,Julieta,Martin,large bbq_ckn
2015-000196,22:21:44,Aidan,Villegas,medium veggie_veg;small sicilian;medium spicy_ital
2015-000197,22:30:08,Mariah,Becker,large ital_cpcllo;large soppressata;large four_cheese;large ital_veggie
2015-000198,22:26:56,Joaquin,Rosas,small big_meat;large ckn_alfredo
2015-000199,22:49:46,Carlos,Conrad,medium ckn_alfredo
2015-000200,22:47:32,Noelle,Mcfarland,x-large the_greek
2015-000201,23:11:23,Remington,Nielsen,x-large the_greek;large ital_supr;large ckn_pesto;medium calabrese
2015-000202,23:33:21,Finley,Sherman,small cali_ckn
2015-000203,12:10:06,Makenna,Mays,small the_greek;large cali_ckn;medium ital_veggie;large pep_msh_pep
2015-000204,12:19:19,Robert,Simon,large spicy_ital
2015-000205,12:24:04,Bennett,Berg,small cali_ckn;medium ckn_alfredo;small prsc_argla
2015-000206,12:28:29,Kairo,Fox,medium napolitana;small pepperoni;large spicy_ital
2015-000207,12:54:52,Zariah,Sherman,large spicy_ital
2015-000208,12:57:52,Kalani,Berry,large bbq_ckn;medium pepperoni;medium the_greek;small bbq_ckn;medium ckn_alfredo
2015-000209,13:07:30,Riley,Hood,large cali_ckn
2015-000210,13:04:25,Brady,Colon,small spinach_fet
2015-000211,13:35:15,Myla,Ingram,small pepperoni
2015-000212,13:51:15,Elisa,Steele,large ital_cpcllo
2015-000213,14:09:06,Izabella,Warner,large four_cheese
2015-000214,14:06:01,Gemma,Chung,small mexicana;medium spin_pesto;large ital_cpcllo;medium ital_supr
2015-000215,14:19:54,Esteban,Zamora,small green_garden
2015-000216,15:12:53,Joseph,Tyler,large five_cheese;large hawaiian;medium bbq_ckn
2015-000217,15:11:59,Theodore,Meyer,small spinach_fet;medium classic_dlx
2015-000218,15:08:56,Emilia,Morales,medium spicy_ital
2015-000219,15:17:53,Major,Harmon,medium peppr_salami;large five_cheese;large bbq_ckn;medium spinach_fet
2015-000220,16:14:23,Autumn,Marks,small hawaiian;large napolitana;small ital_cpcllo;large spicy_ital
2015-000221,16:17:34,Cesar,Arroyo,large five_cheese;medium prsc_argla;small the_greek
2015-000222,16:29:15,Madeline,Hodges,large four_cheese;small sicilian
2015-000223,17:02:14,Nevaeh,Guerrero,small pep_msh_pep
2015-000224,17:26:10,Emerson,Bell,large thai_ckn;medium napolitana;medium ital_supr;small ckn_alfredo
2015-000225,17:21:48,Levi,Stark,large bbq_ckn;medium bbq_ckn;small southw_ckn
2015-000226,17:33:01,Colin,Roy,large classic_dlx
2015-000227,18:23:04,Gracelynn,Lucas,medium the_greek;medium bbq_ckn
2015-000228,18:14:08,Taylor,Peck,small ital_veggie
2015-000229,18:11:09,Jensen,Richard,large ital_veggie;large prsc_argla;small spin_pesto
2015-000230,18:37:56,Eva,Nielsen,medium thai_ckn
2015-000231,18:40:01,Elsie,Kelley,large cali_ckn;small prsc_argla;small napolitana
2015-000232,18:58:03,Spencer,Hall,medium bbq_ckn;large spinach_supr
2015-000233,18:58:19,Kade,Contreras,small spinach_fet
2015-000234,19:14:58,Carlos,Myers,medium napolitana;small ital_supr;medium ckn_alfredo
2015-000235,19:31:43,Reese,Clayton,medium cali_ckn
2015-000236,19:51:31,Amiyah,Garza,medium green_garden;large classic_dlx
2015-000237,19:43:10,Kayden,Miller,small green_garden
2015-000238,20:21:28,Lola,Collier,large spin_pesto
2015-000239,20:36:04,Paisley,Riley,medium thai_ckn;large ital_supr
2015-000240,20:52:33,Nora,Huff,medium four_cheese
2015-000241,20:49:49,Haven,West,large spinach_supr;medium sicilian
2015-000242,20:56:22,Briella,Davila,medium veggie_veg;large thai_ckn;medium calabrese
2015-000243,20:56:36,James,Harrell,large classic_dlx;small spinach_supr
2015-000244,21:09:20,Elias,Delacruz,large spicy_ital;small ital_supr
2015-000245,21:11:42,Alan,Espinoza,large bbq_ckn;large ckn_pesto
2015-000246,21:10:33,Helen,Schneider,large pepperoni;medium ckn_alfredo
2015-000247,21:42:59,Daleyza,Macdonald,small spinach_supr;medium hawaiian;medium sicilian
2015-000248,21:39:08,Ayden,Reyes,large thai_ckn;small hawaiian
2015-000249,21:46:07,Matthew,Conley,small calabrese;large bbq_ckn
2015-000250,21:46:57,Amari,Valenzuela,medium four_cheese
2015-000251,21:51:08,Edward,Salinas,medium mexicana
2015-000252,22:58:40,Gracie,Nolan,medium prsc_argla
2015-000253,22:57:28,Bryan,Edwards,small brie_carre
2015-000254,23:04:51,Isaiah,Hogan,large five_cheese;small brie_carre;large bbq_ckn
2015-000255,11:53:38,Rosie,Hensley,large hawaiian;medium green_garden;medium spinach_fet;large five_cheese
2015-000256,12:31:30,Malik,Sweeney,large pep_msh_pep
2015-000257,12:47:24,Matteo,Bridges,large cali_ckn;large ckn_alfredo
2015-000258,12:28:48,Collins,Larson,medium classic_dlx
2015-000259,12:44:13,Kian,Chavez,large pepperoni
2015-000260,12:47:17,Gracelyn,Cobb,large five_cheese;large the_greek
2015-000261,13:23:18,Leo,Zhang,small brie_carre
2015-000262,13:17:34,Emmanuel,Patterson,medium cali_ckn
2015-000263,13:36:28,Izabella,Mckinney,large spin_pesto
2015-000264,13:29:38,Alaya,Nava,medium mexicana
2015-000265,13:45:04,Ayla,Mcintosh,large mexicana;medium ckn_alfredo;large spicy_ital;medium sicilian
2015-000266,13:42:48,Adrian,Stone,medium peppr_salami
2015-000267,14:14:09,Emmanuel,Solis,large mediterraneo;large four_cheese;small napolitana
2015-000268,14:10:27,Emerson,Kramer,small pepperoni;large ital_supr
2015-000269,14:30:15,Royce,Simon,medium ckn_alfredo
2015-000270,14:51:42,Anna,Eaton,large spin_pesto;large southw_ckn;large thai_ckn
2015-000271,14:58:11,Willa,Huang,medium cali_ckn;medium ckn_alfredo;medium ckn_alfredo;large ckn_pesto;medium cali_ckn;medium classic_dlx;small the_greek;small sicilian;small big_meat;large ckn_pesto;medium southw_ckn;medium soppressata;medium ital_supr
2015-000272,15:14:51,Wesley,Johnson,medium ital_supr
2015-000273,15:10:41,Kai,Kemp,small soppressata
2015-000274,15:21:11,Summer,Sutton,large four_cheese;large thai_ckn
2015-000275,15:30:35,Bodie,Giles,medium sicilian;large five_cheese;small pepperoni;large classic_dlx
2015-000276,15:51:44,Jocelyn,Andrews,large spicy_ital;large five_cheese
2015-000277,16:25:29,Timothy,Harrington,medium four_cheese
2015-000278,16:34:15,Kyrie,English,large southw_ckn;medium ital_veggie
2015-000279,16:45:00,Kash,Pennington,medium ckn_alfredo;medium cali_ckn
2015-000280,17:00:36,Pablo,Gonzales,medium prsc_argla;medium veggie_veg
2015-000281,17:04:43,Skylar,Mcclain,small sicilian
2015-000282,17:30:55,Leah,Green,small classic_dlx;large peppr_salami;large five_cheese;large spin_pesto
2015-000283,17:24:48,Amanda,Livingston,medium napolitana
2015-000284,17:41:58,Kohen,Choi,medium four_cheese;medium napolitana;small hawaiian
2015-000285,17:30:57,Liana,Quinn,large prsc_argla
2015-000286,17:41:37,Anna,Aguirre,medium ital_supr;large peppr_salami
2015-000287,18:02:13,Yaretzi,Mccall,small sicilian;medium ital_supr;medium pep_msh_pep;medium pepperoni
2015-000288,18:09:00,Nova,Wade,large prsc_argla;large spinach_supr;small brie_carre
2015-000289,18:03:30,Grady,Lloyd,large five_cheese
2015-000290,18:20:10,Sean,Mendoza,medium veggie_veg;small classic_dlx
2015-000291,18:29:33,Angela,Mathews,medium ckn_alfredo;medium four_cheese;medium ckn_alfredo;large bbq_ckn
2015-000292,18:28:15,Esme,Cline,medium spin_pesto;large spinach_fet
2015-000293,18:24:16,Eden,Humphrey,small ital_veggie;small classic_dlx
2015-000294,18:50:14,Vanessa,Beck,large thai_ckn;large ital_supr;medium bbq_ckn
2015-000295,19:09:47,Harper,Murphy,medium cali_ckn
2015-000296,19:37:34,Sonny,Buckley,medium thai_ckn;small ital_cpcllo;small green_garden
2015-000297,19:32:04,Alyssa,Enriquez,medium southw_ckn
2015-000298,19:46:01,Renata,Roy,small cali_ckn;medium cali_ckn;medium ckn_alfredo;small classic_dlx
2015-000299,20:14:59,Andres,Dickerson,medium spinach_fet;small classic_dlx
2015-000300,20:23:07,Jaxton,Harper,small ital_cpcllo;small spinach_supr;small big_meat;small ital_veggie
2015-000301,20:19:54,Gael,Schneider,large napolitana
2015-000302,20:28:56,Jett,Collier,large peppr_salami
2015-000303,20:39:35,Koda,Terry,medium ital_cpcllo;small big_meat;small pepperoni
2015-000304,20:53:02,Ada,Quintero,large mexicana;small hawaiian
2015-000305,21:13:50,Waylon,Wise,small sicilian;large pepperoni;medium spicy_ital
2015-000306,21:11:07,Jose,Lam,small big_meat;small hawaiian;medium napolitana
2015-000307,22:20:06,Edwin,Sanders,large classic_dlx;medium thai_ckn
2015-000308,22:49:04,Hadley,Aguilar,large pep_msh_pep;small thai_ckn;large hawaiian
2015-000309,12:13:58,Otto,Porter,large five_cheese;medium peppr_salami
2015-000310,12:24:08,George,Wyatt,small thai_ckn;small hawaiian
2015-000311,12:45:45,Andre,Galvan,large sicilian
2015-000312,12:46:27,Ronin,Gray,small big_meat;medium sicilian;small brie_carre;medium ckn_alfredo
2015-000313,12:44:12,Kaia,Haynes,medium classic_dlx
2015-000314,12:49:41,Hayden,Fisher,large five_cheese;medium veggie_veg;medium calabrese;medium green_garden;medium hawaiian
2015-000315,12:52:13,Colter,King,medium classic_dlx
2015-000316,13:16:09,Poppy,Saunders,small hawaiian;medium ital_supr
2015-000317,13:07:57,Delaney,Glenn,small prsc_argla;large pep_msh_pep;small spinach_fet;medium classic_dlx;small hawaiian;large four_cheese;small cali_ckn
2015-000318,13:34:05,Gianna,Drake,small soppressata;large spicy_ital;large ital_cpcllo;large mexicana
2015-000319,13:20:26,Saint,Jacobson,medium ital_supr
2015-000320,13:20:08,Fernanda,Gilbert,large ckn_pesto;medium cali_ckn
2015-000321,13:35:21,Ryder,Oconnor,large ital_supr
2015-000322,13:40:23,Lexi,Stewart,large ckn_pesto;large thai_ckn;small classic_dlx;large cali_ckn
2015-000323,13:40:01,Denver,Adkins,medium classic_dlx
2015-000324,13:33:39,Jack,Fields,large five_cheese
2015-000325,13:45:44,Uriel,Stone,small veggie_veg;small classic_dlx
2015-000326,13:43:11,Crew,Cline,large spinach_supr;medium cali_ckn
2015-000327,13:56:28,Jordyn,Walter,medium classic_dlx
2015-000328,13:47:54,Lorelai,Ho,large mediterraneo
2015-000329,14:08:37,Mabel,Benitez,large spicy_ital;medium spinach_supr
2015-000330,14:00:38,Olivia,Boone,large four_cheese;large five_cheese;large hawaiian;large four_cheese;medium spicy_ital;medium classic_dlx;medium the_greek;small big_meat;medium ckn_alfredo;large spicy_ital;small classic_dlx;large pep_msh_pep;large spinach_fet;small peppr_salami;large sicilian
2015-000331,14:23:33,Brady,Cox,medium prsc_argla
2015-000332,14:56:18,Charlie,Moss,medium sicilian;large southw_ckn;medium thai_ckn
2015-000333,14:50:58,Corbin,Mckinney,medium ckn_alfredo
2015-000334,15:06:10,Kayden,Vang,medium southw_ckn;large calabrese;medium pepperoni;large thai_ckn
2015-000335,15:02:09,Isabelle,Moss,large mediterraneo
2015-000336,15:21:44,Callie,Mercado,large prsc_argla
2015-000337,15:39:18,Remington,Vega,large hawaiian;large pepperoni
2015-000338,16:07:46,Jesse,Walsh,x-large the_greek;large thai_ckn;large mexicana
2015-000339,16:01:43,Kiara,Soto,medium spicy_ital
2015-000340,16:07:48,Allie,Arroyo,small peppr_salami
2015-000341,16:13:24,Hattie,Rivera,small pepperoni;medium bbq_ckn
2015-000342,16:24:30,Azalea,Griffith,large southw_ckn;large sicilian
2015-000343,16:30:18,Melody,Murillo,large five_cheese;medium four_cheese
2015-000344,16:47:11,Sullivan,Meyers,medium ital_cpcllo
2015-000345,16:40:29,Jared,Nash,small peppr_salami;small spinach_fet
2015-000346,17:16:09,Fernanda,Cochran,small hawaiian;small napolitana;large ital_cpcllo;small green_garden
2015-000347,17:09:56,Ronin,Dickerson,large thai_ckn;large spinach_fet;medium veggie_veg
2015-000348,17:10:47,Cassidy,Chapman,small thai_ckn;large thai_ckn;medium classic_dlx
2015-000349,18:00:40,Evelynn,Stanley,large pepperoni
